Stream,Longnose,Acerage,DO2,Maxdepth,NO3,SO4,Temp
BASIN_RUN,13.0,2528.0,9.6,80.0,2.28,16.75,15.3
BEAR_BR,12.0,3333.0,8.5,83.0,5.34,7.74,19.4
BEAR_CR,54.0,19611.0,8.3,96.0,0.99,10.92,19.5
BEAVER_DAM_CR,19.0,3570.0,9.2,56.0,5.44,16.53,17.0
BEAVER_RUN,37.0,1722.0,8.1,43.0,5.66,5.91,19.3
BENNETT_CR,2.0,583.0,9.2,51.0,2.26,8.81,12.9
BIG_BR,72.0,4790.0,9.4,91.0,4.1,5.65,16.7
BIG_ELK_CR,164.0,35971.0,10.2,81.0,3.2,17.53,13.8
BIG_PIPE_CR,18.0,25440.0,7.5,120.0,3.53,8.2,13.7
BLUE_LICK_RUN,1.0,2217.0,8.5,46.0,1.2,10.85,14.3
BROAD_RUN,53.0,1971.0,11.9,56.0,3.25,11.12,22.2
BUFFALO_RUN,16.0,12620.0,8.3,37.0,0.61,18.87,16.8
BUSH_CR,32.0,19046.0,8.3,120.0,2.93,11.31,18.0
CABIN_JOHN_CR,21.0,8612.0,8.2,103.0,1.57,16.09,15.0
CARROLL_BR,23.0,3896.0,10.4,105.0,2.77,12.79,18.4
COLLIER_RUN,18.0,6298.0,8.6,42.0,0.26,17.63,18.2
CONOWINGO_CR,112.0,27350.0,8.5,65.0,6.95,14.94,24.1
DEAD_RUN,25.0,4145.0,8.7,51.0,0.34,44.93,23.0
DEEP_RUN,5.0,1175.0,7.7,57.0,1.3,21.68,21.8
DEER_CR,26.0,8297.0,9.9,60.0,5.26,6.36,19.1
DORSEY_RUN,8.0,7814.0,6.8,160.0,0.44,20.24,22.6
FALLS_RUN,15.0,1745.0,9.4,48.0,2.19,10.27,14.3
FISHING_CR,11.0,5046.0,7.6,109.0,0.73,7.1,19.0
FLINTSTONE_CR,11.0,18943.0,9.2,50.0,0.25,14.21,18.5
GREAT_SENECA_CR,87.0,8624.0,8.6,78.0,3.37,7.51,21.3
GREENE_BR,33.0,2225.0,9.1,41.0,2.3,9.72,20.5
GUNPOWDER_FALLS,22.0,12659.0,9.7,65.0,3.3,5.98,18.0
HAINES_BR,98.0,1967.0,8.6,50.0,7.71,26.44,16.8
HAWLINGS_R,1.0,1172.0,8.3,73.0,2.62,4.64,20.5
HAY_MEADOW_BR,5.0,639.0,9.5,26.0,3.53,4.46,20.1
HERRINGTON_RUN,1.0,7056.0,6.4,60.0,0.25,9.82,24.5
HOLLANDS_BR,38.0,1934.0,10.5,85.0,2.34,11.44,12.0
ISRAEL_CR,30.0,6260.0,9.5,133.0,2.41,13.77,21.0
LIBERTY_RES,12.0,424.0,8.3,62.0,3.49,5.82,20.2
LITTLE_ANTIETAM_CR,24.0,3488.0,9.3,44.0,2.11,13.37,24.0
LITTLE_BEAR_CR,6.0,3330.0,9.1,67.0,0.81,8.16,14.9
LITTLE_CONOCOCHEAGUE_CR,15.0,2227.0,6.8,54.0,0.33,7.6,24.0
LITTLE_DEER_CR,38.0,8115.0,9.6,110.0,3.4,9.22,20.5
LITTLE_FALLS,84.0,1600.0,10.2,56.0,3.54,5.69,19.5
LITTLE_GUNPOWDER_R,3.0,15305.0,9.7,85.0,2.6,6.96,17.5
LITTLE_HUNTING_CR,18.0,7121.0,9.5,58.0,0.51,7.41,16.0
LITTLE_PAINT_BR,63.0,5794.0,9.4,34.0,1.19,12.27,17.5
MAINSTEM_PATUXENT_R,239.0,8636.0,8.4,150.0,3.31,5.95,18.1
MEADOW_BR,234.0,4803.0,8.5,93.0,5.01,10.98,24.3
MILL_CR,6.0,1097.0,8.3,53.0,1.71,15.77,13.1
MORGAN_RUN,76.0,9765.0,9.3,130.0,4.38,5.74,16.9
MUDDY_BR,25.0,4266.0,8.9,68.0,2.05,12.77,17.0
MUDLICK_RUN,8.0,1507.0,7.4,51.0,0.84,16.3,21.0
NORTH_BR,23.0,3836.0,8.3,121.0,1.32,7.36,18.5
NORTH_BR_CASSELMAN_R,16.0,17419.0,7.4,48.0,0.29,2.5,18.0
NORTHWEST_BR,6.0,8735.0,8.2,63.0,1.56,13.22,20.8
NORTHWEST_BR_ANACOSTIA_R,100.0,22550.0,8.4,107.0,1.41,14.45,23.0
OWENS_CR,80.0,9961.0,8.6,79.0,1.02,9.07,21.8
PATAPSCO_R,28.0,4706.0,8.9,61.0,4.06,9.9,19.7
PINEY_BR,48.0,4011.0,8.3,52.0,4.7,5.38,18.9
PINEY_CR,18.0,6949.0,9.3,100.0,4.57,17.84,18.6
PINEY_RUN,36.0,11405.0,9.2,70.0,2.17,10.17,23.6
PRETTYBOY_BR,19.0,904.0,9.8,39.0,6.81,9.2,19.2
RED_RUN,32.0,3332.0,8.4,73.0,2.09,5.5,17.7
ROCK_CR,3.0,575.0,6.8,33.0,2.47,7.61,18.0
SAVAGE_R,106.0,29708.0,7.7,73.0,0.63,12.28,21.4
SECOND_MINE_BR,62.0,2511.0,10.2,60.0,4.17,10.75,17.7
SENECA_CR,23.0,18422.0,9.9,45.0,1.58,8.37,20.1
SOUTH_BR_CASSELMAN_R,2.0,6311.0,7.6,46.0,0.64,21.16,18.5
SOUTH_BR_PATAPSCO,26.0,1450.0,7.9,60.0,2.96,8.84,18.6
SOUTH_FORK_LINGANORE_CR,20.0,4106.0,10.0,96.0,2.62,5.45,15.4
TUSCARORA_CR,38.0,10274.0,9.3,90.0,5.45,24.76,15.0
WATTS_BR,19.0,510.0,6.7,82.0,5.25,14.19,26.5
